"0","librarian::shelf(stringr, Matrix, glmnet, xgboost, randomForest, Metrics, caret, scales, e1071, corrplot, 
                 psych, tidyverse, lubridate, pls, gdata, graphics, rpart, gbm, earth, Boruta, ggcorrplot)
"
"2","package ‘ggplot2’ was built under R version 3.6.2"
"2","package ‘tidyverse’ was built under R version 3.6.2"
"2","package ‘tibble’ was built under R version 3.6.2"
"2","package ‘tidyr’ was built under R version 3.6.2"
"2","package ‘readr’ was built under R version 3.6.2"
"2","package ‘purrr’ was built under R version 3.6.2"
"2","package ‘dplyr’ was built under R version 3.6.2"
"2","package ‘forcats’ was built under R version 3.6.2"
"2","package ‘lubridate’ was built under R version 3.6.2"
"2","package ‘Boruta’ was built under R version 3.6.2"
