"0","emfit2
"
"1","Random Forest"
"1"," "
"1","

"
"1","10000"
"1",""
"1"," samples"
"1","
"
"1","    4"
"1",""
"1"," predictor"
"1",""
"1","
"
"1","
"
"1","No pre-processing
"
"1","Resampling results"
"1"," across tuning parameters"
"1",":

"
"1",""
"1","  mtry"
"1","  RMSE    "
"1","  Rsquared "
"1","
"
"1","   1  "
"1","  57395.64"
"1","  0.9770222"
"1","
"
"1","   2  "
"1","  50688.87"
"1","  0.9820784"
"1","
"
"1","   3  "
"1","  50222.06"
"1","  0.9824070"
"1","
"
"1","   4  "
"1","  48580.33"
"1","  0.9835384"
"1","
"
"1","   5  "
"1","  49640.35"
"1","  0.9828122"
"1","
"
"1","   6  "
"1","  49397.87"
"1","  0.9829797"
"1","
"
"1","   7  "
"1","  49578.98"
"1","  0.9828547"
"1","
"
"1","   8  "
"1","  48092.50"
"1","  0.9838674"
"1","
"
"1","   9  "
"1","  47363.31"
"1","  0.9843529"
"1","
"
"1","  10  "
"1","  50492.99"
"1","  0.9822167"
"1","
"
"1","  11  "
"1","  49288.51"
"1","  0.9830550"
"1","
"
"1","  12  "
"1","  49156.07"
"1","  0.9831459"
"1","
"
"1","  13  "
"1","  50661.28"
"1","  0.9820979"
"1","
"
"1","  14  "
"1","  49565.19"
"1","  0.9828642"
"1","
"
"1","  15  "
"1","  49698.08"
"1","  0.9827722"
"1","
"
"1","  16  "
"1","  48765.81"
"1","  0.9834125"
"1","
"
"1","  17  "
"1","  49627.68"
"1","  0.9828210"
"1","
"
"1","  18  "
"1","  48774.74"
"1","  0.9834064"
"1","
"
"1","  19  "
"1","  48623.72"
"1","  0.9835090"
"1","
"
"1","  20  "
"1","  48757.34"
"1","  0.9834182"
"1","
"
"1","  21  "
"1","  48479.04"
"1","  0.9836070"
"1","
"
"1","  22  "
"1","  49861.89"
"1","  0.9826584"
"1","
"
"1","  23  "
"1","  49146.73"
"1","  0.9831523"
"1","
"
"1","  24  "
"1","  48713.02"
"1","  0.9834484"
"1","
"
"1","  25  "
"1","  49716.70"
"1","  0.9827593"
"1","
"
"1","  26  "
"1","  50331.36"
"1","  0.9823303"
"1","
"
"1","  27  "
"1","  51334.81"
"1","  0.9816188"
"1","
"
"1","  28  "
"1","  50498.99"
"1","  0.9822125"
"1","
"
"1","  29  "
"1","  50191.27"
"1","  0.9824286"
"1","
"
"1","  30  "
"1","  50587.26"
"1","  0.9821502"
"1","
"
"1","  31  "
"1","  49116.71"
"1","  0.9831729"
"1","
"
"1","  32  "
"1","  48865.25"
"1","  0.9833448"
"1","
"
"1","  33  "
"1","  49828.35"
"1","  0.9826818"
"1","
"
"1","  34  "
"1","  49890.30"
"1","  0.9826387"
"1","
"
"1","  35  "
"1","  49581.21"
"1","  0.9828531"
"1","
"
"1","  36  "
"1","  49051.68"
"1","  0.9832174"
"1","
"
"1","  37  "
"1","  48920.12"
"1","  0.9833073"
"1","
"
"1","  38  "
"1","  49729.79"
"1","  0.9827502"
"1","
"
"1","  39  "
"1","  48628.74"
"1","  0.9835056"
"1","
"
"1","  40  "
"1","  49518.53"
"1","  0.9828965"
"1","
"
"1","  41  "
"1","  51640.19"
"1","  0.9813994"
"1","
"
"1","  42  "
"1","  50399.76"
"1","  0.9822823"
"1","
"
"1","  43  "
"1","  50016.49"
"1","  0.9825507"
"1","
"
"1","  44  "
"1","  48905.72"
"1","  0.9833172"
"1","
"
"1","  45  "
"1","  49761.90"
"1","  0.9827279"
"1","
"
"1","  46  "
"1","  49854.41"
"1","  0.9826636"
"1","
"
"1","  47  "
"1","  49782.50"
"1","  0.9827136"
"1","
"
"1","  48  "
"1","  48826.66"
"1","  0.9833711"
"1","
"
"1","  49  "
"1","  49991.62"
"1","  0.9825681"
"1","
"
"1","  50  "
"1","  50549.21"
"1","  0.9821771"
"1","
"
"1","
"
"1","RMSE was used to select the optimal model using the smallest value.
"
"1","The final value used for the model was mtry = 9."
"1","
"
