id,price
1,318425.4698
2,1368378.024
3,551378.8404
4,387862.9522
5,526571.817
6,336100.9508
7,578269.6983
8,360829.8557
9,696148.0003
10,345017.5651
11,468595.0052
12,553764.508
13,682456.6471
14,553194.3622
15,622826.309
16,662294.7151
17,445020.9706
18,514544.5781
19,1021936.109
20,772949.2767
21,365456.4844
22,313862.9139
23,121878.976
24,646033.0418
25,703092.4503
26,726179.1517
27,335780.374
28,518019.1941
29,1098117.425
30,470772.6318
31,721683.8785
32,738679.6342
33,652546.3576
34,241984.3227
35,380552.0676
36,192076.7824
37,492816.3774
38,842472.5973
39,278562.2805
40,489671.3277
41,1006492.528
42,502237.2986
43,966892.1446
44,862929.6752
45,658707.898
46,675967.3352
47,407931.9089
48,1154164.152
49,359159.0794
50,681826.3129
51,611132.0921
52,545190.0038
53,680963.7389
54,1216114.97
55,329016.4202
56,422263.1609
57,301294.5253
58,749602.0429
59,459543.3922
60,967136.069
61,670192.5635
62,566643.0981
63,399485.031
64,478973.5408
65,247328.2163
66,650734.661
67,372608.3905
68,286105.6289
69,437628.2694
70,843036.5769
71,410459.0075
72,409518.9436
73,1142508.088
74,411624.4417
75,286376.1207
76,367846.071
77,576793.5483
78,265253.8836
79,100575.7567
80,483348.3083
81,514479.138
82,604543.8849
83,463240.4047
84,401552.322
85,170137.5483
86,692804.1646
87,667384.2197
88,450595.767
89,377241.3337
90,464850.6173
91,364849.7849
92,638342.7502
93,550104.8193
94,668501.9967
95,468692.2518
96,357486.6798
97,910513.2125
98,169869.3074
99,389882.7571
100,459216.7847
101,476638.8282
102,788090.1703
103,1044945.586
104,1072165.764
105,606342.0454
106,801243.5811
107,924369.9496
108,709168.232
109,-91045.9558
110,627228.0791
111,993485.8003
112,282537.5378
113,202870.1445
114,385256.5183
115,460658.9745
116,1266269.515
117,655000.4174
118,569292.4384
119,850261.508
120,965517.8415
121,673651.5835
122,367983.9874
123,452049.1799
124,418252.5766
125,472035.0549
126,301234.5584
127,439051.3767
128,581428.1357
129,707332.8691
130,513493.4907
131,460606.2114
132,243484.2234
133,516678.1186
134,113805.2276
135,426125.0407
136,595588.7916
137,133583.3919
138,973627.1055
139,742554.6188
140,473699.0971
141,607801.3716
142,332503.3788
143,821738.2846
144,439994.3512
145,358899.3298
146,673886.0097
147,581847.3561
148,479986.9859
149,643497.5179
150,429644.2713
151,359728.3995
152,383907.5109
153,533597.7809
154,303450.1902
155,79773.38751
156,986808.0702
157,591405.54
158,283540.6938
159,321167.8542
160,872363.4689
161,780297.5881
162,450299.0149
163,739422.7634
164,368685.5779
165,305632.4908
166,1189359.514
167,531516.4509
168,358831.3505
169,309140.7272
170,444531.9923
171,429265.8706
172,484408.7465
173,383953.3037
174,914394.8335
175,363649.1485
176,491942.0115
177,-73651.07963
178,814675.066
179,344111.1468
180,472305.2732
181,438005.2039
182,536838.7587
183,433341.2765
184,473628.8703
185,630655.9343
186,405967.3921
187,598536.5274
188,272343.1492
189,245127.918
190,835637.027
191,356396.0853
192,374314.3453
193,539333.0898
194,549636.7681
195,745245.7641
196,529228.9365
197,317826.9077
198,130796.1836
199,935238.1689
200,428723.9661
201,832404.4677
202,1235848.068
203,428476.2314
204,251263.0678
205,333331.1078
206,1511326.263
207,382513.0116
208,531714.248
209,361157.985
210,1222464.521
211,829122.2076
212,516352.254
213,457700.2874
214,189389.2305
215,648269.7301
216,516955.5429
217,632610.1055
218,8548.627316
219,1868153.124
220,318256.2279
221,616051.4525
222,496106.5358
223,392531.1592
224,1347802.938
225,478120.6029
226,309498.147
227,1437686.435
228,559796.0581
229,732729.6132
230,345387.4804
231,876196.9751
232,342299.6204
233,691862.7951
234,369444.5777
235,673335.0693
236,502926.8134
237,431639.6398
238,582504.7794
239,164226.2802
240,840768.275
241,283744.9098
242,653239.0045
243,763176.2873
244,633691.7722
245,290955.2048
246,400346.8851
247,449388.9052
248,619361.2677
249,276554.8594
250,547860.5848
251,634190.2571
252,258886.0666
253,397334.7845
254,828677.757
255,1762398.313
256,392797.8098
257,397872.545
258,716085.6492
259,314520.3561
260,384224.8863
261,458609.4459
262,354925.6464
263,1137022.029
264,615400.9583
265,455445.2541
266,203728.8022
267,895265.9425
268,586029.6419
269,306185.8915
270,518709.6575
271,1131182.556
272,248833.4453
273,522160.0609
274,475574.6888
275,794056.2783
276,463365.8591
277,363611.6372
278,619681.867
279,994067.5864
280,406767.6177
281,353321.3556
282,765363.4595
283,885497.8932
284,554665.5052
285,1126701.911
286,285342.9677
287,606124.9355
288,283601.4432
289,121619.4802
290,731484.5217
291,529237.5121
292,684458.5747
293,965634.9675
294,690359.0464
295,815769.1827
296,912124.7035
297,839028.3877
298,785053.4272
299,815849.4113
300,783229.6217
301,559045.6198
302,536794.2311
303,262322.4881
304,656858.4819
305,586407.7668
306,590896.852
307,468710.6626
308,447711.3384
309,251655.4981
310,560210.7916
311,205904.5992
312,644009.2233
313,428237.5616
314,1441728.34
315,424286.4729
316,545560.7558
317,625652.225
318,860465.2473
319,1239550.747
320,692740.4666
321,2016167.351
322,310746.0281
323,182698.0474
324,459278.2571
325,1085264.667
326,776129.8332
327,1211140.851
